Gender,AgeGroup,FoodCategory,TotalDryMatter,TotalFat,TotalProtein,TotalCarbohydrates,TotalCalories,PercentageDryMatter,PercentageFat,PercentageProtein,PercentageCarbohydrates,PercentageCalories
Male,40-49,Vegetables,126.70159321273643,70.9481733316012,18.167639995122357,31.616412459044103,849.6320989926703,7.8850292069430905,16.17682776188536,5.274277462623539,4.265378358189541,10.044786982023531
Male,50-59,Dairy and alternatives,372.7620884182909,141.53335595847605,89.12220468796451,134.0420404396181,2185.708542315895,22.92815166769544,31.44499233554086,25.585397048494574,18.035351177109536,25.450820187295665
Male,50-59,Eggs,10.303471467391308,3.1851719202898554,3.1533710824275376,3.7601310688405807,56.60549139492754,0.6337542466041418,0.7076614974796427,0.9052766531935347,0.50592548484107,0.6591254758877171
Male,50-59,Fish,60.086237413194446,12.721190167942177,32.865167176870756,12.957232780612244,300.3767800807823,3.695832831060184,2.826314154857313,9.435003927802795,1.7433951521139877,3.497646310232498
Male,50-59,Fruits and nuts,331.559763270548,115.14434918664386,35.3762232020548,158.18064135273974,1856.5782577054797,20.39384576749597,25.582048508177284,10.155883372384404,21.28319896400112,21.618362414614975
Male,50-59,Grains and cereals,486.93851455570916,40.73119267450858,70.05873660067006,339.00759764416136,2077.9329033714935,29.951007523188334,9.049400636293308,20.112615020239815,45.613458696750655,24.19585944836818
Male,50-59,Legumes,1.1387520833333333,0.09631690972222225,0.2898641666666667,0.5627789930555555,4.665128298611112,0.07004328307462522,0.02139908622591295,0.08321483765200441,0.07572189099455899,0.05432167152204688
Male,50-59,Poultry,18.428736413043474,4.9345197010869555,11.139720108695654,2.1779415760869565,98.02025815217388,1.133529606820148,1.0963206032207578,3.1980151634261254,0.29304195190649995,1.1413671661364293
Male,50-59,Red meat,139.26301114583333,43.548446052083335,80.69468658541666,13.391899216666667,771.8391385208333,8.565901792213882,9.675320302121802,23.166006756905645,1.8018795036908015,8.987446746763835
Male,50-59,Starchy vegetables,73.24793333333331,14.257861249999996,6.697088749999998,46.18584249999999,350.7122374999999,4.505393056300687,3.167722087074592,1.9226148560583776,6.214303260128317,4.083762277215178
Male,50-59,Vegetables,132.05491230251653,73.94583264314099,18.93524813276308,32.952249997276006,885.5302405984396,8.122540225546583,16.42882078900853,5.435972363842716,4.433723918463447,10.311288301963485
Male,60-69,Dairy and alternatives,338.0197287110965,128.34209290879065,80.8157921278627,121.54898674791923,1981.995035090839,21.04262158359098,29.01275583158234,24.091701362615932,16.358259992741214,23.40509081359167
Male,60-69,Eggs,9.223331202046035,2.8512618925831195,2.8227948209718674,3.365946547314578,50.67138746803068,0.5741767469160467,0.6445505385376442,0.8414930800554123,0.4529945515451535,0.5983710374358195
Male,60-69,Fish,74.00093218954255,15.667147278911575,40.47604097639059,15.957852340936386,369.9376544617849,4.606753631911313,3.541683856624777,12.066165112895202,2.1476336784294925,4.368539902850128
Male,60-69,Fruits and nuts,382.75797264470873,132.92450574049832,40.83888629633362,182.60629998824876,2143.2640769372824,23.827695522911263,30.048646875531006,12.174331609302982,24.57545234593579,25.30949344982931
Male,60-69,Grains and cereals,463.3830145957512,38.7608338330256,66.66966689708022,322.60821001301747,1977.4135421810518,28.84681749666735,8.762196270441855,19.874651507323115,43.41713671484917,23.350988630832926
Male,60-69,Legumes,1.1689333333333332,0.09886967320261439,0.2975466666666666,0.5776947712418299,4.788771895424837,0.07276918978537557,0.0223502798089349,0.08870055277604245,0.07774710030302072,0.056549910122684476
Male,60-69,Poultry,15.50385763000852,4.151347612958226,9.371702472293265,1.8322740835464617,82.4631756180733,0.9651561180707767,0.9384453061114888,2.793764080967746,0.24659042118364474,0.9737956351791289
Male,60-69,Red meat,120.12876019607842,37.56504178431372,69.60751870980391,11.551899074509803,665.7911387843137,7.4783328527919775,8.491877920878387,20.75044380801328,1.5546733339920078,7.862230626333168
Male,60-69,Starchy vegetables,85.42029215686276,16.627235992647062,7.810012536764708,53.86101669117648,408.9936797794119,5.317638974123111,3.7587195835398846,2.3282143838462916,7.248703079153573,4.829746819715639
Male,60-69,Vegetables,116.75067119335336,65.37602761236751,16.740785254912865,29.133314599458753,782.9034766615746,7.268037883231818,14.778773536943687,4.990534502203997,3.9208087818669366,9.245193174109527
Male,70-79,Dairy and alternatives,283.1561106448538,107.51102605355307,67.69866795901424,101.82050163640001,1660.2995558682285,17.619545534381682,25.06751961795093,20.06928428299873,13.514857332499341,19.76716956309827
Male,70-79,Eggs,8.509063545150502,2.63045618729097,2.6041936454849504,3.105282943143813,46.74732441471571,0.5294811835326051,0.6133232515726476,0.7720137511547177,0.4121709800988573,0.5565635942386462
Male,70-79,Fish,72.42546794871797,15.333597017268449,39.61431459968605,15.618113029827319,362.0617598116169,4.506714785229833,3.575216962887759,11.743671852724926,2.0730262177917522,4.310629472383
Male,70-79,Fruits and nuts,355.9109657534247,123.60105495258169,37.97440811380401,169.79812107481558,1992.9335036880927,22.14675661774279,28.819107988792897,11.257521231820164,22.537675073015066,23.727437832615227
Male,70-79,Grains and cereals,514.7422605803397,43.056906707286664,74.05902670101015,358.3646229431738,2196.5809810539054,32.03012175195905,10.039248002670526,21.95481396302511,47.566518277302336,26.152020915805984
Male,70-79,Legumes,0.6904615384615385,0.058400000000000014,0.17575384615384618,0.3412307692307692,2.8286153846153854,0.04296435096864617,0.013616679139115646,0.05210226447036466,0.04529230449169395,0.0336768866430501
Male,70-79,Poultry,17.078695652173913,4.573029765886287,10.323653511705688,2.0183913043478263,90.83955183946487,1.0627312793145038,1.0662582023236076,3.060449243861555,0.26790548151912036,1.0815161745360793
Male,70-79,Red meat,134.71987076923077,42.12777661538461,78.06220516923077,12.955018830769232,746.6596344615385,8.383018441659818,9.822609880411497,23.141557057629843,1.7195479144555406,8.889569082974324
Male,70-79,Starchy vegetables,90.60695384615383,17.636830384615383,8.284231153846152,57.131420769230765,433.82749615384614,5.6380677972592474,4.112244184560157,2.455862059106811,7.583178127096516,5.165056900303145
Male,70-79,Vegetables,129.216983805668,72.35669838056678,18.528319838056678,32.24408906882591,866.4997368421053,8.040598257951832,16.87085522969086,5.492724293207777,4.2798282917297845,10.316359577402267
Male,80-89,Dairy and alternatives,0.0,0.0,0.0,0.0,0.0,,,,,
Male,80-89,Eggs,0.0,0.0,0.0,0.0,0.0,,,,,
